اسم الملف,الأحاديث المعالجة,توكنز المدخلات,توكنز المخرجات,وقت المعالجة (ثانية),التوكنز في الثانية,متوسط الوقت لكل حديث (ثانية)
1213.json,1,1806,764,59.59,43.13,59.59
1214.json,1,1707,833,46.58,54.53,46.58
1215.json,1,1511,796,44.52,51.82,44.52
1216.json,1,1941,795,43.62,62.73,43.62
1217.json,1,2039,746,40.78,68.3,40.78
1218.json,1,3924,850,38.16,125.11,38.16
1219.json,1,1185,424,26.45,60.84,26.45
1220.json,1,1230,534,24.98,70.61,24.98
1221.json,1,1511,720,52.01,42.9,52.01
1224.json,1,1600,621,31.9,69.63,31.9
1225.json,1,1556,758,33.65,68.77,33.65
1226.json,1,1989,725,36.68,73.99,36.68
1230.json,1,1593,778,35.27,67.23,35.27
1232.json,1,1443,623,31.6,65.39,31.6
1233.json,1,3654,800,37.03,120.28,37.03
1234.json,1,3963,784,42.11,112.73,42.11
1236.json,1,1977,678,32.6,81.44,32.6
1237.json,1,2685,809,34.73,100.61,34.73
1238.json,1,1612,813,39.01,62.17,39.01
1239.json,0,989,0,0.28,3504.67,0.0
1240.json,1,2084,827,42.78,68.05,42.78
1241.json,1,2065,787,40.77,69.95,40.77
1242.json,1,2382,754,37.64,83.31,37.64
1243.json,1,2817,745,32.28,110.34,32.28
1244.json,1,1863,790,38.05,69.72,38.05
1245.json,0,913,0,0.78,1165.3,0.0
1246.json,1,2396,774,33.45,94.77,33.45
1247.json,1,1531,719,26.11,86.17,26.11
1248.json,0,1814,0,0.29,6164.65,0.0
1249.json,1,1340,525,37.02,50.38,37.02
1251.json,0,1709,0,0.56,3067.58,0.0
1252.json,0,1981,0,0.28,7050.19,0.0
1253.json,0,2059,0,0.3,6867.65,0.0
1254.json,1,2188,833,61.02,49.51,61.02
1255.json,0,1927,0,0.51,3798.98,0.0
1256.json,1,1939,824,30.62,90.22,30.62
1257.json,0,2002,0,0.58,3429.49,0.0
1258.json,1,2213,947,59.05,53.51,59.05
1260.json,0,1973,0,0.76,2593.04,0.0
1261.json,1,2234,855,46.83,65.96,46.83
1262.json,0,1938,0,0.33,5843.83,0.0
1263.json,1,2083,974,46.5,65.75,46.5
1264.json,0,2080,0,0.31,6634.91,0.0
1265.json,0,1547,0,0.32,4768.79,0.0
1266.json,0,1578,0,0.33,4798.79,0.0
1267.json,1,1552,714,32.56,69.6,32.56
1268.json,0,1581,0,0.28,5734.42,0.0
1269.json,0,2513,0,0.31,8016.88,0.0
1270.json,0,2099,0,0.31,6862.38,0.0
1271.json,1,2060,790,44.29,64.35,44.29
1272.json,0,2057,0,0.83,2489.16,0.0
1273.json,1,2066,819,49.16,58.69,49.16
1274.json,0,2175,0,0.27,7966.35,0.0
1275.json,0,2322,0,0.31,7474.7,0.0
1277.json,0,1782,0,0.81,2199.26,0.0
1278.json,1,1414,591,41.22,48.64,41.22
1279.json,0,1721,0,0.29,5978.43,0.0
1280.json,0,1108,0,0.49,2245.51,0.0
1281.json,0,2521,0,0.33,7564.04,0.0
1283.json,0,2126,0,0.3,7080.39,0.0
1284.json,0,2277,0,0.76,2986.15,0.0
1285.json,0,2046,0,0.3,6836.5,0.0
1286.json,0,3714,0,0.43,8679.2,0.0
1289.json,0,1698,0,0.31,5397.33,0.0
1290.json,0,1745,0,0.48,3645.85,0.0
1291.json,1,2039,857,27.54,105.17,27.54
1292.json,0,1719,0,0.36,4802.02,0.0
1293.json,0,1958,0,0.33,5944.44,0.0
1294.json,0,1694,0,0.34,5052.46,0.0
1295.json,0,1401,0,0.3,4638.43,0.0
1296.json,0,1875,0,0.29,6508.25,0.0
1297.json,0,1694,0,0.32,5345.7,0.0
1298.json,0,1694,0,0.29,5817.84,0.0
1299.json,0,2491,0,0.39,6319.64,0.0
1300.json,0,1825,0,0.3,6047.84,0.0
1301.json,0,2736,0,0.31,8708.64,0.0
1302.json,0,1944,0,0.3,6530.24,0.0
1303.json,0,2400,0,0.69,3453.75,0.0
1304.json,0,2313,0,0.45,5140.6,0.0
1305.json,0,2558,0,0.32,7891.28,0.0
1306.json,0,2432,0,0.35,7020.43,0.0
1307.json,0,1719,0,0.33,5220.22,0.0
1308.json,1,1665,656,41.54,55.87,41.54
1309.json,1,1816,647,42.56,57.87,42.56
1310.json,1,1439,590,38.13,53.22,38.13
1311.json,1,936,495,31.33,45.68,31.33
1312.json,1,2012,620,34.93,75.34,34.93
1314.json,1,1918,707,41.36,63.47,41.36
1315.json,1,1385,627,43.87,45.87,43.87
1316.json,1,1925,720,46.97,56.32,46.97
1317.json,1,1669,832,61.88,40.42,61.88
1318.json,1,903,597,28.42,52.78,28.42
1319.json,1,1261,609,37.2,50.27,37.2
1320.json,1,1571,879,55.99,43.76,55.99
1321.json,1,1524,702,49.67,44.82,49.67
1322.json,1,1271,686,57.46,34.06,57.46
1323.json,1,1865,867,72.75,37.55,72.75
1325.json,1,1286,620,67.5,28.24,67.5
1326.json,1,1256,583,39.23,46.88,39.23
1327.json,1,1800,758,64.98,39.37,64.98
1330.json,1,1557,624,99.07,22.01,99.07
1331.json,1,1316,590,39.13,48.72,39.13
1332.json,1,1390,774,46.08,46.96,46.08
