اسم الملف,معرف الحديث,وقت التوليد (ثانية),توكنز المدخلات,توكنز المخرجات
4390.json,4390,58.70,1921,639
4395.json,4395,45.44,2618,889
4397.json,4397,45.46,993,646
5149.json,5149,65.81,2404,963
5153.json,5153,65.94,2255,817
5154.json,5154,76.02,2741,1183
5180.json,5180,34.46,1474,703
5244.json,5244,62.29,1333,656
6405.json,6405,44.34,1384,749
6452.json,6452,37.44,5301,891
6454.json,6454,68.67,1751,735
